x1;y1;z1;x2;y2;z2;s;t
0;20;10;10;20;10;3,000000;16;17
0;20;10;0;10;20;3,000000;16;22
0;20;10;10;10;20;3,000000;16;23
0;20;10;0;20;20;3,000000;16;25
0;20;10;10;20;20;3,000000;16;26
10;20;10;20;20;10;3,000000;17;18
10;20;10;0;10;20;3,000000;17;22
10;20;10;10;10;20;3,000000;17;23
10;20;10;20;10;20;3,000000;17;24
10;20;10;0;20;20;3,000000;17;25
10;20;10;10;20;20;3,000000;17;26
10;20;10;20;20;20;3,000000;17;27
20;20;10;10;10;20;3,000000;18;23
20;20;10;20;10;20;3,000000;18;24
20;20;10;10;20;20;3,000000;18;26
20;20;10;20;20;20;3,000000;18;27
0;0;20;10;0;20;3,000000;19;20
0;0;20;0;10;20;3,000000;19;22
0;0;20;10;10;20;3,000000;19;23
10;0;20;20;0;20;3,000000;20;21
10;0;20;0;10;20;3,000000;20;22
10;0;20;10;10;20;3,000000;20;23
10;0;20;20;10;20;3,000000;20;24
20;0;20;10;10;20;3,000000;21;23
20;0;20;20;10;20;3,000000;21;24
0;10;20;10;10;20;3,000000;22;23
0;10;20;0;20;20;3,000000;22;25
0;10;20;10;20;20;3,000000;22;26
10;10;20;20;10;20;3,000000;23;24
10;10;20;0;20;20;3,000000;23;25
10;10;20;10;20;20;3,000000;23;26
10;10;20;20;20;20;3,000000;23;27
20;10;20;10;20;20;3,000000;24;26
20;10;20;20;20;20;3,000000;24;27
0;20;20;10;20;20;3,000000;25;26
10;20;20;20;20;20;3,000000;26;27
