x1;y1;z1;x2;y2;z2;s;t;
60;40;0;60;40;20.30;13;48;
60;40;0;30;30;10;13;111;
60;40;0;50;30;10;13;112;
60;40;0;30;50;10;13;115;
60;40;0;50;50;10;13;116;
90;40;0;107;34.88;0;14;15;
90;40;0;100.30;50.96;0;14;19;
90;40;0;90;20;20.30;14;44;
90;40;0;60;40;20.30;14;48;
90;40;0;90;40;20.30;14;49;
90;40;0;50;30;10;14;112;
90;40;0;70;30;10;14;113;
90;40;0;50;50;10;14;116;
90;40;0;70;50;10;14;117;
107;34.88;0;100.30;50.96;0;15;19;
107;34.88;0;90;40;20.30;15;49;
107;34.88;0;107;34.88;20.30;15;50;
107;34.88;0;70;30;10;15;113;
107;34.88;0;70;50;10;15;117;
0;60;0;30;60;0;16;17;
0;60;0;0;80;0;16;21;
0;60;0;0;40;20.30;16;46;
0;60;0;0;60;20.30;16;51;
0;60;0;10;50;10;16;114;
0;60;0;10;70;10;16;118;
30;60;0;60;60;0;17;18;
30;60;0;0;80;0;17;21;
30;60;0;30;80;0;17;22;
30;60;0;73.16;85.46;0;17;23;
30;60;0;30;40;20.30;17;47;
30;60;0;0;60;20.30;17;51;
30;60;0;30;60;20.30;17;52;
30;60;0;10;50;10;17;114;
30;60;0;30;50;10;17;115;
30;60;0;10;70;10;17;118;
30;60;0;30;70;10;17;119;
60;60;0;100.30;50.96;0;18;19;
60;60;0;73.16;85.46;0;18;23;
60;60;0;60;40;20.30;18;48;
60;60;0;30;60;20.30;18;52;
60;60;0;60;60;20.30;18;53;
60;60;0;30;50;10;18;115;
60;60;0;50;50;10;18;116;
60;60;0;30;70;10;18;119;
60;60;0;50;70;10;18;120;
100.30;50.96;0;73.16;85.46;0;19;23;
100.30;50.96;0;85.46;73.16;0;19;24;
100.30;50.96;0;90;40;20.30;19;49;
100.30;50.96;0;60;60;20.30;19;53;
100.30;50.96;0;100.30;50.96;20.30;19;54;
100.30;50.96;0;50;50;10;19;116;
100.30;50.96;0;70;50;10;19;117;
100.30;50.96;0;50;70;10;19;120;
100.30;50.96;0;70;70;10;19;121;
0;80;0;30;80;0;21;22;
0;80;0;0;100;0;21;26;
0;80;0;34.88;106.96;0;21;27;
0;80;0;0;60;20.30;21;51;
0;80;0;0;80;20.30;21;56;
0;80;0;10;70;10;21;118;
0;80;0;10;90;10;21;122;
30;80;0;73.16;85.46;0;22;23;
30;80;0;34.88;106.96;0;22;27;
30;80;0;30;60;20.30;22;52;
30;80;0;0;80;20.30;22;56;
30;80;0;30;80;20.30;22;57;
30;80;0;10;70;10;22;118;
30;80;0;30;70;10;22;119;
30;80;0;10;90;10;22;122;
30;80;0;30;90;10;22;123;
73.16;85.46;0;85.46;73.16;0;23;24;
73.16;85.46;0;34.88;106.96;0;23;27;
73.16;85.46;0;51;100.30;0;23;28;
73.16;85.46;0;60;60;20.30;23;53;
73.16;85.46;0;30;80;20.30;23;57;
73.16;85.46;0;73.16;85.46;20.30;23;58;
73.16;85.46;0;30;70;10;23;119;
73.16;85.46;0;50;70;10;23;120;
73.16;85.46;0;30;90;10;23;123;
73.16;85.46;0;50;90;10;23;124;
85.46;73.16;0;51;100.30;0;24;28;
85.46;73.16;0;100.30;50.96;20.30;24;54;
85.46;73.16;0;73.16;85.46;20.30;24;58;
85.46;73.16;0;85.46;73.16;20.30;24;59;
85.46;73.16;0;50;70;10;24;120;
85.46;73.16;0;70;70;10;24;121;
85.46;73.16;0;50;90;10;24;124;
85.46;73.16;0;70;90;10;24;125;
0;100;0;34.88;106.96;0;26;27;
0;100;0;8.70;112.16;0;26;31;
0;100;0;0;80;20.30;26;56;
0;100;0;0;100;20.30;26;61;
0;100;0;10;90;10;26;122;
0;100;0;10;110;10;26;126;
34.88;106.96;0;51;100.30;0;27;28;
34.88;106.96;0;8.70;112.16;0;27;31;
34.88;106.96;0;30;80;20.30;27;57;
34.88;106.96;0;0;100;20.30;27;61;
34.88;106.96;0;34.88;106.96;20.30;27;62;
34.88;106.96;0;10;90;10;27;122;
34.88;106.96;0;30;90;10;27;123;
34.88;106.96;0;10;110;10;27;126;
34.88;106.96;0;30;110;10;27;127;
51;100.30;0;73.16;85.46;20.30;28;58;
51;100.30;0;34.88;106.96;20.30;28;62;
51;100.30;0;51;100.30;20.30;28;63;
51;100.30;0;30;90;10;28;123;
51;100.30;0;50;90;10;28;124;
51;100.30;0;30;110;10;28;127;
51;100.30;0;50;110;10;28;128;
8.70;112.16;0;0;100;20.30;31;61;
8.70;112.16;0;8.70;112.16;20.30;31;66;
8.70;112.16;0;10;110;10;31;126;
30;0;20.30;60;0;20.30;37;38;
30;0;20.30;0;30;20.30;37;41;
30;0;20.30;30;20;20.30;37;42;
30;0;20.30;30;0;40.60;37;72;
30;0;20.30;10;10;10;37;106;
30;0;20.30;30;10;10;37;107;
30;0;20.30;10;10;30;37;130;
30;0;20.30;30;10;30;37;131;
60;0;20.30;90;0;20.30;38;39;
60;0;20.30;30;20;20.30;38;42;
60;0;20.30;60;20;20.30;38;43;
60;0;20.30;30;0;40.60;38;72;
60;0;20.30;60;0;40.60;38;73;
60;0;20.30;30;10;10;38;107;
60;0;20.30;50;10;10;38;108;
60;0;20.30;30;10;30;38;131;
60;0;20.30;50;10;30;38;132;
90;0;20.30;112.16;8.70;20.30;39;40;
90;0;20.30;60;20;20.30;39;43;
90;0;20.30;90;20;20.30;39;44;
90;0;20.30;60;0;40.60;39;73;
90;0;20.30;90;0;40.60;39;74;
90;0;20.30;50;10;10;39;108;
90;0;20.30;70;10;10;39;109;
90;0;20.30;50;10;30;39;132;
90;0;20.30;70;10;30;39;133;
112.16;8.70;20.30;90;20;20.30;40;44;
112.16;8.70;20.30;90;0;40.60;40;74;
112.16;8.70;20.30;112.16;8.70;40.60;40;75;
112.16;8.70;20.30;70;10;10;40;109;
112.16;8.70;20.30;70;10;30;40;133;
0;30;20.30;30;20;20.30;41;42;
0;30;20.30;0;40;20.30;41;46;
0;30;20.30;0;30;40.60;41;76;
0;30;20.30;10;10;10;41;106;
0;30;20.30;10;30;10;41;110;
0;30;20.30;10;10;30;41;130;
0;30;20.30;10;30;30;41;134;
30;20;20.30;60;20;20.30;42;43;
30;20;20.30;0;40;20.30;42;46;
30;20;20.30;30;40;20.30;42;47;
30;20;20.30;30;0;40.60;42;72;
30;20;20.30;0;30;40.60;42;76;
30;20;20.30;30;20;40.60;42;77;
30;20;20.30;10;10;10;42;106;
30;20;20.30;30;10;10;42;107;
30;20;20.30;10;30;10;42;110;
30;20;20.30;30;30;10;42;111;
30;20;20.30;10;10;30;42;130;
30;20;20.30;30;10;30;42;131;
30;20;20.30;10;30;30;42;134;
30;20;20.30;30;30;30;42;135;
60;20;20.30;90;20;20.30;43;44;
60;20;20.30;30;40;20.30;43;47;
60;20;20.30;60;40;20.30;43;48;
60;20;20.30;60;0;40.60;43;73;
60;20;20.30;30;20;40.60;43;77;
60;20;20.30;60;20;40.60;43;78;
60;20;20.30;30;10;10;43;107;
60;20;20.30;50;10;10;43;108;
60;20;20.30;30;30;10;43;111;
60;20;20.30;50;30;10;43;112;
60;20;20.30;30;10;30;43;131;
60;20;20.30;50;10;30;43;132;
60;20;20.30;30;30;30;43;135;
60;20;20.30;50;30;30;43;136;
90;20;20.30;60;40;20.30;44;48;
90;20;20.30;90;40;20.30;44;49;
90;20;20.30;107;34.88;20.30;44;50;
90;20;20.30;90;0;40.60;44;74;
90;20;20.30;60;20;40.60;44;78;
90;20;20.30;90;20;40.60;44;79;
90;20;20.30;50;10;10;44;108;
90;20;20.30;70;10;10;44;109;
90;20;20.30;50;30;10;44;112;
90;20;20.30;70;30;10;44;113;
90;20;20.30;50;10;30;44;132;
90;20;20.30;70;10;30;44;133;
90;20;20.30;50;30;30;44;136;
90;20;20.30;70;30;30;44;137;
0;40;20.30;30;40;20.30;46;47;
0;40;20.30;0;60;20.30;46;51;
0;40;20.30;0;30;40.60;46;76;
0;40;20.30;0;40;40.60;46;81;
0;40;20.30;10;30;10;46;110;
0;40;20.30;10;50;10;46;114;
0;40;20.30;10;30;30;46;134;
0;40;20.30;10;50;30;46;138;
30;40;20.30;60;40;20.30;47;48;
30;40;20.30;0;60;20.30;47;51;
30;40;20.30;30;60;20.30;47;52;
30;40;20.30;30;20;40.60;47;77;
30;40;20.30;0;40;40.60;47;81;
30;40;20.30;30;40;40.60;47;82;
30;40;20.30;10;30;10;47;110;
30;40;20.30;30;30;10;47;111;
30;40;20.30;10;50;10;47;114;
30;40;20.30;30;50;10;47;115;
30;40;20.30;10;30;30;47;134;
30;40;20.30;30;30;30;47;135;
30;40;20.30;10;50;30;47;138;
30;40;20.30;30;50;30;47;139;
60;40;20.30;90;40;20.30;48;49;
60;40;20.30;30;60;20.30;48;52;
60;40;20.30;60;60;20.30;48;53;
60;40;20.30;100.30;50.96;20.30;48;54;
60;40;20.30;60;20;40.60;48;78;
60;40;20.30;30;40;40.60;48;82;
60;40;20.30;60;40;40.60;48;83;
60;40;20.30;30;30;10;48;111;
60;40;20.30;50;30;10;48;112;
60;40;20.30;30;50;10;48;115;
60;40;20.30;50;50;10;48;116;
60;40;20.30;30;30;30;48;135;
60;40;20.30;50;30;30;48;136;
60;40;20.30;30;50;30;48;139;
60;40;20.30;50;50;30;48;140;
90;40;20.30;107;34.88;20.30;49;50;
90;40;20.30;100.30;50.96;20.30;49;54;
90;40;20.30;90;20;40.60;49;79;
90;40;20.30;60;40;40.60;49;83;
90;40;20.30;90;40;40.60;49;84;
90;40;20.30;50;30;10;49;112;
90;40;20.30;70;30;10;49;113;
90;40;20.30;50;50;10;49;116;
90;40;20.30;70;50;10;49;117;
90;40;20.30;50;30;30;49;136;
90;40;20.30;70;30;30;49;137;
90;40;20.30;50;50;30;49;140;
90;40;20.30;70;50;30;49;141;
107;34.88;20.30;100.30;50.96;20.30;50;54;
107;34.88;20.30;90;40;40.60;50;84;
107;34.88;20.30;107;34.88;40.60;50;85;
107;34.88;20.30;70;30;10;50;113;
107;34.88;20.30;70;50;10;50;117;
107;34.88;20.30;70;30;30;50;137;
107;34.88;20.30;70;50;30;50;141;
0;60;20.30;30;60;20.30;51;52;
0;60;20.30;0;80;20.30;51;56;
0;60;20.30;0;40;40.60;51;81;
0;60;20.30;0;60;40.60;51;86;
0;60;20.30;10;50;10;51;114;
0;60;20.30;10;70;10;51;118;
0;60;20.30;10;50;30;51;138;
0;60;20.30;10;70;30;51;142;
30;60;20.30;60;60;20.30;52;53;
30;60;20.30;0;80;20.30;52;56;
30;60;20.30;30;80;20.30;52;57;
30;60;20.30;73.16;85.46;20.30;52;58;
30;60;20.30;30;40;40.60;52;82;
30;60;20.30;0;60;40.60;52;86;
30;60;20.30;30;60;40.60;52;87;
30;60;20.30;10;50;10;52;114;
30;60;20.30;30;50;10;52;115;
30;60;20.30;10;70;10;52;118;
30;60;20.30;30;70;10;52;119;
30;60;20.30;10;50;30;52;138;
30;60;20.30;30;50;30;52;139;
30;60;20.30;10;70;30;52;142;
30;60;20.30;30;70;30;52;143;
60;60;20.30;100.30;50.96;20.30;53;54;
60;60;20.30;73.16;85.46;20.30;53;58;
60;60;20.30;60;40;40.60;53;83;
60;60;20.30;30;60;40.60;53;87;
60;60;20.30;60;60;40.60;53;88;
60;60;20.30;30;50;10;53;115;
60;60;20.30;50;50;10;53;116;
60;60;20.30;30;70;10;53;119;
60;60;20.30;50;70;10;53;120;
60;60;20.30;30;50;30;53;139;
60;60;20.30;50;50;30;53;140;
60;60;20.30;30;70;30;53;143;
60;60;20.30;50;70;30;53;144;
100.30;50.96;20.30;73.16;85.46;20.30;54;58;
100.30;50.96;20.30;85.46;73.16;20.30;54;59;
100.30;50.96;20.30;90;40;40.60;54;84;
100.30;50.96;20.30;60;60;40.60;54;88;
100.30;50.96;20.30;100.30;50.96;40.60;54;89;
100.30;50.96;20.30;50;50;10;54;116;
100.30;50.96;20.30;70;50;10;54;117;
100.30;50.96;20.30;50;70;10;54;120;
100.30;50.96;20.30;70;70;10;54;121;
100.30;50.96;20.30;50;50;30;54;140;
100.30;50.96;20.30;70;50;30;54;141;
100.30;50.96;20.30;50;70;30;54;144;
100.30;50.96;20.30;70;70;30;54;145;
0;80;20.30;30;80;20.30;56;57;
0;80;20.30;0;100;20.30;56;61;
0;80;20.30;34.88;106.96;20.30;56;62;
0;80;20.30;0;60;40.60;56;86;
0;80;20.30;0;80;40.60;56;91;
0;80;20.30;10;70;10;56;118;
0;80;20.30;10;90;10;56;122;
0;80;20.30;10;70;30;56;142;
0;80;20.30;10;90;30;56;146;
30;80;20.30;73.16;85.46;20.30;57;58;
30;80;20.30;34.88;106.96;20.30;57;62;
30;80;20.30;30;60;40.60;57;87;
30;80;20.30;0;80;40.60;57;91;
30;80;20.30;30;80;40.60;57;92;
30;80;20.30;10;70;10;57;118;
30;80;20.30;30;70;10;57;119;
30;80;20.30;10;90;10;57;122;
30;80;20.30;30;90;10;57;123;
30;80;20.30;10;70;30;57;142;
30;80;20.30;30;70;30;57;143;
30;80;20.30;10;90;30;57;146;
30;80;20.30;30;90;30;57;147;
73.16;85.46;20.30;85.46;73.16;20.30;58;59;
73.16;85.46;20.30;34.88;106.96;20.30;58;62;
73.16;85.46;20.30;51;100.30;20.30;58;63;
73.16;85.46;20.30;60;60;40.60;58;88;
73.16;85.46;20.30;30;80;40.60;58;92;
73.16;85.46;20.30;73.16;85.46;40.60;58;93;
73.16;85.46;20.30;30;70;10;58;119;
73.16;85.46;20.30;50;70;10;58;120;
73.16;85.46;20.30;30;90;10;58;123;
73.16;85.46;20.30;50;90;10;58;124;
73.16;85.46;20.30;30;70;30;58;143;
73.16;85.46;20.30;50;70;30;58;144;
73.16;85.46;20.30;30;90;30;58;147;
73.16;85.46;20.30;50;90;30;58;148;
85.46;73.16;20.30;51;100.30;20.30;59;63;
85.46;73.16;20.30;100.30;50.96;40.60;59;89;
85.46;73.16;20.30;73.16;85.46;40.60;59;93;
85.46;73.16;20.30;85.46;73.16;40.60;59;94;
85.46;73.16;20.30;50;70;10;59;120;
85.46;73.16;20.30;70;70;10;59;121;
85.46;73.16;20.30;50;90;10;59;124;
85.46;73.16;20.30;70;90;10;59;125;
85.46;73.16;20.30;50;70;30;59;144;
85.46;73.16;20.30;70;70;30;59;145;
85.46;73.16;20.30;50;90;30;59;148;
85.46;73.16;20.30;70;90;30;59;149;
0;100;20.30;34.88;106.96;20.30;61;62;
0;100;20.30;8.70;112.16;20.30;61;66;
0;100;20.30;0;80;40.60;61;91;
0;100;20.30;0;100;40.60;61;96;
0;100;20.30;10;90;10;61;122;
0;100;20.30;10;110;10;61;126;
0;100;20.30;10;90;30;61;146;
0;100;20.30;10;110;30;61;150;
34.88;106.96;20.30;51;100.30;20.30;62;63;
34.88;106.96;20.30;8.70;112.16;20.30;62;66;
34.88;106.96;20.30;30;80;40.60;62;92;
34.88;106.96;20.30;0;100;40.60;62;96;
34.88;106.96;20.30;34.88;106.96;40.60;62;97;
34.88;106.96;20.30;10;90;10;62;122;
34.88;106.96;20.30;30;90;10;62;123;
34.88;106.96;20.30;10;110;10;62;126;
34.88;106.96;20.30;30;110;10;62;127;
34.88;106.96;20.30;10;90;30;62;146;
34.88;106.96;20.30;30;90;30;62;147;
34.88;106.96;20.30;10;110;30;62;150;
34.88;106.96;20.30;30;110;30;62;151;
51;100.30;20.30;73.16;85.46;40.60;63;93;
51;100.30;20.30;34.88;106.96;40.60;63;97;
51;100.30;20.30;51;100.30;40.60;63;98;
51;100.30;20.30;30;90;10;63;123;
51;100.30;20.30;50;90;10;63;124;
51;100.30;20.30;30;110;10;63;127;
51;100.30;20.30;50;110;10;63;128;
51;100.30;20.30;30;90;30;63;147;
51;100.30;20.30;50;90;30;63;148;
51;100.30;20.30;30;110;30;63;151;
51;100.30;20.30;50;110;30;63;152;
8.70;112.16;20.30;0;100;40.60;66;96;
8.70;112.16;20.30;8.70;112.16;40.60;66;101;
8.70;112.16;20.30;10;110;10;66;126;
8.70;112.16;20.30;10;110;30;66;150;
30;0;40.60;60;0;40.60;72;73;
30;0;40.60;0;30;40.60;72;76;
30;0;40.60;30;20;40.60;72;77;
30;0;40.60;10;10;30;72;130;
30;0;40.60;30;10;30;72;131;
60;0;40.60;90;0;40.60;73;74;
60;0;40.60;30;20;40.60;73;77;
60;0;40.60;60;20;40.60;73;78;
60;0;40.60;30;10;30;73;131;
60;0;40.60;50;10;30;73;132;
90;0;40.60;112.16;8.70;40.60;74;75;
90;0;40.60;60;20;40.60;74;78;
90;0;40.60;90;20;40.60;74;79;
90;0;40.60;50;10;30;74;132;
90;0;40.60;70;10;30;74;133;
112.16;8.70;40.60;90;20;40.60;75;79;
112.16;8.70;40.60;70;10;30;75;133;
0;30;40.60;30;20;40.60;76;77;
0;30;40.60;0;40;40.60;76;81;
0;30;40.60;10;10;30;76;130;
0;30;40.60;10;30;30;76;134;
30;20;40.60;60;20;40.60;77;78;
30;20;40.60;0;40;40.60;77;81;
30;20;40.60;30;40;40.60;77;82;
30;20;40.60;10;10;30;77;130;
30;20;40.60;30;10;30;77;131;
30;20;40.60;10;30;30;77;134;
30;20;40.60;30;30;30;77;135;
60;20;40.60;90;20;40.60;78;79;
60;20;40.60;30;40;40.60;78;82;
60;20;40.60;60;40;40.60;78;83;
60;20;40.60;30;10;30;78;131;
60;20;40.60;50;10;30;78;132;
60;20;40.60;30;30;30;78;135;
60;20;40.60;50;30;30;78;136;
90;20;40.60;60;40;40.60;79;83;
90;20;40.60;90;40;40.60;79;84;
90;20;40.60;107;34.88;40.60;79;85;
90;20;40.60;50;10;30;79;132;
90;20;40.60;70;10;30;79;133;
90;20;40.60;50;30;30;79;136;
90;20;40.60;70;30;30;79;137;
0;40;40.60;30;40;40.60;81;82;
0;40;40.60;0;60;40.60;81;86;
0;40;40.60;10;30;30;81;134;
0;40;40.60;10;50;30;81;138;
30;40;40.60;60;40;40.60;82;83;
30;40;40.60;0;60;40.60;82;86;
30;40;40.60;30;60;40.60;82;87;
30;40;40.60;10;30;30;82;134;
30;40;40.60;30;30;30;82;135;
30;40;40.60;10;50;30;82;138;
30;40;40.60;30;50;30;82;139;
60;40;40.60;90;40;40.60;83;84;
60;40;40.60;30;60;40.60;83;87;
60;40;40.60;60;60;40.60;83;88;
60;40;40.60;100.30;50.96;40.60;83;89;
60;40;40.60;30;30;30;83;135;
60;40;40.60;50;30;30;83;136;
60;40;40.60;30;50;30;83;139;
60;40;40.60;50;50;30;83;140;
90;40;40.60;107;34.88;40.60;84;85;
90;40;40.60;100.30;50.96;40.60;84;89;
90;40;40.60;50;30;30;84;136;
90;40;40.60;70;30;30;84;137;
90;40;40.60;50;50;30;84;140;
90;40;40.60;70;50;30;84;141;
107;34.88;40.60;100.30;50.96;40.60;85;89;
107;34.88;40.60;70;30;30;85;137;
107;34.88;40.60;70;50;30;85;141;
0;60;40.60;30;60;40.60;86;87;
0;60;40.60;0;80;40.60;86;91;
0;60;40.60;10;50;30;86;138;
0;60;40.60;10;70;30;86;142;
30;60;40.60;60;60;40.60;87;88;
30;60;40.60;0;80;40.60;87;91;
30;60;40.60;30;80;40.60;87;92;
30;60;40.60;73.16;85.46;40.60;87;93;
30;60;40.60;10;50;30;87;138;
30;60;40.60;30;50;30;87;139;
30;60;40.60;10;70;30;87;142;
30;60;40.60;30;70;30;87;143;
60;60;40.60;100.30;50.96;40.60;88;89;
60;60;40.60;73.16;85.46;40.60;88;93;
60;60;40.60;30;50;30;88;139;
60;60;40.60;50;50;30;88;140;
60;60;40.60;30;70;30;88;143;
60;60;40.60;50;70;30;88;144;
100.30;50.96;40.60;73.16;85.46;40.60;89;93;
100.30;50.96;40.60;85.46;73.16;40.60;89;94;
100.30;50.96;40.60;50;50;30;89;140;
100.30;50.96;40.60;70;50;30;89;141;
100.30;50.96;40.60;50;70;30;89;144;
100.30;50.96;40.60;70;70;30;89;145;
0;80;40.60;30;80;40.60;91;92;
0;80;40.60;0;100;40.60;91;96;
0;80;40.60;34.88;106.96;40.60;91;97;
0;80;40.60;10;70;30;91;142;
0;80;40.60;10;90;30;91;146;
30;80;40.60;73.16;85.46;40.60;92;93;
30;80;40.60;34.88;106.96;40.60;92;97;
30;80;40.60;10;70;30;92;142;
30;80;40.60;30;70;30;92;143;
30;80;40.60;10;90;30;92;146;
30;80;40.60;30;90;30;92;147;
73.16;85.46;40.60;85.46;73.16;40.60;93;94;
73.16;85.46;40.60;34.88;106.96;40.60;93;97;
73.16;85.46;40.60;51;100.30;40.60;93;98;
73.16;85.46;40.60;30;70;30;93;143;
73.16;85.46;40.60;50;70;30;93;144;
73.16;85.46;40.60;30;90;30;93;147;
73.16;85.46;40.60;50;90;30;93;148;
85.46;73.16;40.60;51;100.30;40.60;94;98;
85.46;73.16;40.60;50;70;30;94;144;
85.46;73.16;40.60;70;70;30;94;145;
85.46;73.16;40.60;50;90;30;94;148;
85.46;73.16;40.60;70;90;30;94;149;
0;100;40.60;34.88;106.96;40.60;96;97;
0;100;40.60;8.70;112.16;40.60;96;101;
0;100;40.60;10;90;30;96;146;
0;100;40.60;10;110;30;96;150;
34.88;106.96;40.60;51;100.30;40.60;97;98;
34.88;106.96;40.60;8.70;112.16;40.60;97;101;
34.88;106.96;40.60;10;90;30;97;146;
34.88;106.96;40.60;30;90;30;97;147;
34.88;106.96;40.60;10;110;30;97;150;
34.88;106.96;40.60;30;110;30;97;151;
51;100.30;40.60;30;90;30;98;147;
51;100.30;40.60;50;90;30;98;148;
51;100.30;40.60;30;110;30;98;151;
51;100.30;40.60;50;110;30;98;152;
8.70;112.16;40.60;10;110;30;101;150;
10;10;10;30;10;10;106;107;
10;10;10;10;30;10;106;110;
10;10;10;10;10;30;106;130;
30;10;10;50;10;10;107;108;
30;10;10;10;30;10;107;110;
30;10;10;30;30;10;107;111;
30;10;10;10;10;30;107;130;
30;10;10;30;10;30;107;131;
50;10;10;70;10;10;108;109;
50;10;10;30;30;10;108;111;
50;10;10;50;30;10;108;112;
50;10;10;30;10;30;108;131;
50;10;10;50;10;30;108;132;
70;10;10;50;30;10;109;112;
70;10;10;70;30;10;109;113;
70;10;10;50;10;30;109;132;
70;10;10;70;10;30;109;133;
10;30;10;30;30;10;110;111;
10;30;10;10;50;10;110;114;
10;30;10;10;10;30;110;130;
10;30;10;10;30;30;110;134;
30;30;10;50;30;10;111;112;
30;30;10;10;50;10;111;114;
30;30;10;30;50;10;111;115;
30;30;10;30;10;30;111;131;
30;30;10;10;30;30;111;134;
30;30;10;30;30;30;111;135;
50;30;10;70;30;10;112;113;
50;30;10;30;50;10;112;115;
50;30;10;50;50;10;112;116;
50;30;10;50;10;30;112;132;
50;30;10;30;30;30;112;135;
50;30;10;50;30;30;112;136;
70;30;10;50;50;10;113;116;
70;30;10;70;50;10;113;117;
70;30;10;70;10;30;113;133;
70;30;10;50;30;30;113;136;
70;30;10;70;30;30;113;137;
10;50;10;30;50;10;114;115;
10;50;10;10;70;10;114;118;
10;50;10;10;30;30;114;134;
10;50;10;10;50;30;114;138;
30;50;10;50;50;10;115;116;
30;50;10;10;70;10;115;118;
30;50;10;30;70;10;115;119;
30;50;10;30;30;30;115;135;
30;50;10;10;50;30;115;138;
30;50;10;30;50;30;115;139;
50;50;10;70;50;10;116;117;
50;50;10;30;70;10;116;119;
50;50;10;50;70;10;116;120;
50;50;10;50;30;30;116;136;
50;50;10;30;50;30;116;139;
50;50;10;50;50;30;116;140;
70;50;10;50;70;10;117;120;
70;50;10;70;70;10;117;121;
70;50;10;70;30;30;117;137;
70;50;10;50;50;30;117;140;
70;50;10;70;50;30;117;141;
10;70;10;30;70;10;118;119;
10;70;10;10;90;10;118;122;
10;70;10;10;50;30;118;138;
10;70;10;10;70;30;118;142;
30;70;10;50;70;10;119;120;
30;70;10;10;90;10;119;122;
30;70;10;30;90;10;119;123;
30;70;10;30;50;30;119;139;
30;70;10;10;70;30;119;142;
30;70;10;30;70;30;119;143;
50;70;10;70;70;10;120;121;
50;70;10;30;90;10;120;123;
50;70;10;50;90;10;120;124;
50;70;10;50;50;30;120;140;
50;70;10;30;70;30;120;143;
50;70;10;50;70;30;120;144;
70;70;10;50;90;10;121;124;
70;70;10;70;90;10;121;125;
70;70;10;70;50;30;121;141;
70;70;10;50;70;30;121;144;
70;70;10;70;70;30;121;145;
10;90;10;30;90;10;122;123;
10;90;10;10;110;10;122;126;
10;90;10;10;70;30;122;142;
10;90;10;10;90;30;122;146;
30;90;10;50;90;10;123;124;
30;90;10;10;110;10;123;126;
30;90;10;30;110;10;123;127;
30;90;10;30;70;30;123;143;
30;90;10;10;90;30;123;146;
30;90;10;30;90;30;123;147;
50;90;10;70;90;10;124;125;
50;90;10;30;110;10;124;127;
50;90;10;50;110;10;124;128;
50;90;10;50;70;30;124;144;
50;90;10;30;90;30;124;147;
